Cattex 2009	upos	Ud-feats
ABR	X	Abbr=Yes
ADJcar	ADJ	NumType=Card
ADJind	ADJ	PronType=Ind
ADJord	ADJ	NumType=Ord
ADJpos	ADJ	Poss=Yes
ADJqua	ADJ	_
ADVgen	ADV	_
ADVgen.PROadv	ADV.ADV	_._
ADVgen.PROper	ADV.PRON	_.PronType=Prs
ADVing	ADV	PronType=Int
ADVint	ADV	PronType=Int
ADVneg	ADV	PronType=Neg
ADVneg.PROadv	ADV.ADV	PronType=Neg._
ADVneg.PROper	ADV.PRON	PronType=Neg.PronType=Prs
ADVsub	ADV	_
CONcoo	CCONJ	_
CONsub	SCONJ	_
CONsub.PROper	SCONJ.PRON	_.PronType=Prs
DETcar	DET	NumType=Card
DETcom	DET	Definite=Com
DETdef	DET	PronType=Art|Definite=Def
DETdem	DET	PronType=Dem
DETind	DET	PronType=Ind
DETint	DET	PronType=Int
DETndf	DET	PronType=Art|Definite=Ind
DETord	DET	NumType=Ord
DETpos	DET	Poss=Yes
DETrel	DET	PronType=Rel
ETR	X	Foreign=Yes
INJ	INTJ	_
NOMcom	NOUN	_
NOMpro	PROPN	_
OUT	X	_
PONfbl	PUNCT	_
PONfrt	PUNCT	_
PONpdr	PUNCT	_
PONpga	PUNCT	_
PONpxx	PUNCT	_
PRE	ADP	_
PRE.DETcom	ADP.DET	_.Definite=Yes
PRE.DETdef	ADP.DET	_.PronType=Art|Definite=Def
PRE.DETrel	ADP.DET	_.PronType=Rel
PRE.PROper	ADP.PRON	_.PronType=Prs
PRE.PROrel	ADP.PRON	_.PronType=Rel
PROadv	ADV	_
PROcar	PRON	NumType=Card
PROcom	PRON	Definite=Com
PROdem	PRON	PronType=Dem
PROimp	PRON	PronType=Prs
PROind	PRON	PronType=Ind
PROint	PRON	PronType=Int
PROint.PROper	PRON.PRON	PronType=Int.PronType=Prs
PROord	PRON	NumType=Ord
PROper	PRON	PronType=Prs
PROper.PROadv	PRON.ADV	PronType=Prs._
PROper.PROper	PRON.PRON	PronType=Prs.PronType=Prs
PROpos	PRON	Poss=Yes
PROrel	PRON	PronType=Rel
PROrel.PROadv	PRON.ADV	PronType=Rel._
PROrel.PROper	PRON.PRON	PronType=Rel.PronType=Prs
RED	X	_
RES	X	_
VERcjg	VERB	VerbForm=Fin
VERinf	VERB	VerbForm=Inf
VERppa	VERB	VerbForm=Part|Tense=Pres
VERppe	VERB	VerbForm=Part|Tense=Past
